pre_lon,pre_lat,pre_delta_time,post_delta_time,pre_sar_date,post_sar_date,pre_HV_db,post_HV_db,pre_agbd,post_agbd,sar_status,hansen_loss_min,hansen_loss_max,hansen_loss_mode,v2c_drop_reason,passes_v2c
-71.40944758318614,-7.995776213089712,49873440.357689,144817027.797623,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-10.422521732936644,-12.081506350549105,191.526901,18.206077575683594,ok,20.0,20.0,20.0,,True
-71.43343260127213,-7.985535418850745,49873440.287444,133257293.834791,2019-08-14 16:20:58.529000+00:00,2022-03-09 16:21:43.161000+00:00,-12.365569135377257,-11.57222953167296,72.025848,105.3878402709961,ok,18.0,22.0,22.0,edge,False
-71.431007150005,-7.989038848458819,49873440.353556,144817027.801754,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-10.516278787226653,-12.832672576361475,211.476151,74.829407,ok,20.0,24.0,22.0,edge,False
-71.43747502005067,-7.9801455271460355,49873440.180012,144817027.62821,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-11.96520731307308,-9.806495438304808,419.999878,0.0,ok,20.0,21.0,20.0,edge,False
-71.43801400922113,-7.979337043390316,49873440.163484,144817027.611682,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-9.446602908059049,-11.49211026277085,361.095642,53.233269,ok,20.0,20.0,20.0,,True
-71.40756112108949,-7.9922727834816385,49873440.601476,144817028.049677,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-12.108008056798184,-18.59807488650671,102.088768,1.94097101688385,ok,20.0,22.0,22.0,edge,False
-71.40729162650425,-7.992542278066878,49873440.609741,144817028.057943,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-12.95755288796282,-14.354711731672097,182.359467,235.316803,ok,20.0,22.0,22.0,edge,False
-71.43828350380637,-7.978798054219851,49873440.15522,133257293.702565,2019-08-14 16:20:58.529000+00:00,2022-03-09 16:21:43.161000+00:00,-13.348870056063518,-12.273935187238308,330.854553,24.029605865478516,ok,19.0,20.0,20.0,edge,False
-71.43262411751643,-7.986882891776929,49873440.312236,144817027.760434,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-11.10770631655484,-17.256382005358518,315.806641,0.0,ok,19.0,20.0,20.0,edge,False
-71.40971707777138,-7.995237223919233,49873440.349424,144817027.789359,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-16.77183856290692,-14.121702672819382,242.563156,0.28679201006889343,ok,20.0,20.0,20.0,,True
-71.43612754712449,-7.967748776225179,49873439.692382,133257293.231464,2019-08-14 16:20:58.529000+00:00,2022-03-09 16:21:43.161000+00:00,-14.383649874806409,-12.96628609061736,196.04071044921875,6.217866897583008,ok,9.0,23.0,22.0,edge,False
-71.40917808860091,-7.996045707674938,49873440.365952,144817027.805887,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-12.249561783721262,-14.55654513631572,236.117966,235.909576,ok,20.0,20.0,20.0,,True
-71.4407089550735,-7.975564119197017,49873440.089108,144817027.537306,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-11.831810347587222,-14.844051678115832,249.391754,0.31119000911712646,ok,21.0,22.0,21.0,edge,False
-71.4272342258117,-7.965053830372824,49873440.064317,144817027.512515,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-11.409784161655395,-13.513670110402671,198.401276,44.066212,ok,20.0,24.0,22.0,edge,False
-71.47439577822799,-7.906034516206162,49873438.589081,133257292.128165,2019-08-14 16:20:58.529000+00:00,2022-03-09 16:21:43.161000+00:00,-11.868646087122457,-12.85587125322624,185.460693,73.372627,ok,18.0,22.0,22.0,edge,False
-71.36578946037793,-7.665375851590554,82852659.310471,145621549.765901,2020-08-17 16:27:57.804000+00:00,2022-08-15 16:27:59.188000+00:00,-9.72213831636482,-11.054223401907706,386.773499,308.3325500488281,ok,20.0,20.0,20.0,,True
-71.29275642777901,-8.03566141170461,81152750.561333,143666516.240448,2020-08-12 16:20:59.950000+00:00,2022-08-10 16:21:01.054000+00:00,-13.79286968276304,-12.722549114633935,581.416931,79.976318,ok,20.0,20.0,20.0,,True
-71.29275642777901,-8.03566141170461,54718215.041222,143666516.240448,2019-09-25 16:21:39.149000+00:00,2022-08-10 16:21:01.054000+00:00,-11.233691714378523,-12.722549114633935,501.545349,79.976318,ok,20.0,20.0,20.0,,True
-71.3205143700583,-8.103035058013575,49873442.903164,143666515.364408,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,0.17971199750900269,3.530184030532837,no_match,,,,,False
-71.38950498387868,-8.03242747668179,49873440.965148,144817028.405082,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-12.17840464446742,-14.713906237433363,146.124435,11.447044372558594,ok,21.0,21.0,21.0,,True
-71.31269902708647,-8.114084336008247,49873443.118031,144817030.574493,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,120.537262,280.443878,no_match,,,,,False
-71.38923548929345,-8.032966465852255,49873440.973412,144817028.413346,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-13.1345669982054,-12.281477878848023,207.285004,2.411571979522705,ok,21.0,21.0,21.0,,True
-71.31539397293882,-8.110311411814948,49873443.043655,144817030.500117,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,279.125885,1.7356630563735962,no_match,,,,,False
-71.38573205968538,-8.022456177028062,49873441.19654,144817028.644738,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-13.05997440337751,-12.45583885297792,106.002998,22.9288387298584,ok,13.0,22.0,21.0,edge,False
-71.1965468608498,-8.298418632309577,49873446.204802,144817033.661264,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,,,253.118332,52.235291,no_match,,,,,False
-71.39193043514581,-8.020030725760932,49873440.837036,144817028.27699,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-10.296501292068626,-10.814624416186277,215.630157,201.058502,ok,22.0,22.0,22.0,timing,False
-71.39004397304916,-8.031618992926084,49873440.94862,144817028.388554,2019-08-14 16:20:58.529000+00:00,2022-08-10 16:21:01.054000+00:00,-12.029291174231076,-13.641242100727567,254.404114,0.9295369982719421,ok,21.0,21.0,21.0,,True
